win score,name
147,NCAA Champs 2024
123,NCAA Champs 2025
114,NCAA Champs 2026
84,NCAA Champs 2027
96,NCAA Champs 2028
96,NCAA Champs 2029
65,NCAA Champs 2030
90,NCAA Champs 2031
125,NCAA Champs 2032
49,NCAA Champs 2015
85,NCAA Champs 2014
141,NCAA Champs 2013
114,NCAA Champs 2012
162,NCAA Champs 2011
120,NCAA Champs 2010
86,NCAA Champs 2009
79,NCAA Champs 2008
145,NCAA Champs 2007
195,NCAA Champs 2006
146,NCAA Champs 2005
102,Gans Creek 2025
105,Prenationals 2024
65,Prenationals 2022
54,Prenationals 2021
84,Prenationals 2019
51,Prenationals 2018
63,Prenationals 2017
93,Prenationals 2016
131,Prenationals 2015
110,Prenationals 2014
117,Prenationals 2013
72,Prenationals 2012
46,Prenationals 2011
100,Prenationals 2010
94,Prenationals 2009
102,Prenationals 2007
45,Prenationals 2006
86,Prenationals 2005
49,Prenationals 2004